cubeJuliaTimeStep, cubeRomeo.position.x, cubeRomeo.velocity.x,cubeRomeo.mass, cubeRomeoImpulse, cubeRomeoKinetic, cubeJulia.position.x, cubeJulia.velocity.x,cubeJulia.mass, cubeJuliaImpulse, velocityEnd, cubeKineticEnd, forceOnJulia 
3.199998,1.3372,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.219998,1.378,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.239998,1.4188,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.259998,1.4596,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.279998,1.5004,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.299998,1.5412,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.319998,1.582,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.339998,1.6228,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.359998,1.6636,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.379997,1.7044,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.399997,1.7452,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.419997,1.786,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.439997,1.8268,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.459997,1.8676,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.479997,1.9084,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.499997,1.9492,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.519997,1.99,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.539997,2.0308,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.559997,2.0716,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.579997,2.1124,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.599997,2.1532,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.619997,2.194,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.639997,2.2348,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.659997,2.2756,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.679997,2.3164,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.699997,2.3572,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.719997,2.398,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.739997,2.438801,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.759997,2.479601,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.779997,2.520401,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.799997,2.561201,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.819997,2.602001,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.839997,2.642801,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.859997,2.683601,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.879997,2.724401,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.899997,2.765201,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.919997,2.806001,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.939997,2.846802,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.959997,2.887602,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.979997,2.928402,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.999997,2.969202,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
4.019997,3.010002,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
4.039997,3.050802,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
4.059997,3.091602,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
4.079997,3.132402,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
4.099997,3.173202,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
4.119997,3.214002,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
4.139997,3.254802,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
4.159997,3.295603,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
4.179997,3.336403,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
4.199997,3.377203,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
4.219997,3.418003,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
4.239997,3.458803,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
4.259997,3.499603,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
4.279997,3.540403,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
4.299997,3.581203,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
4.319997,3.622003,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
4.339997,3.662803,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
4.359997,3.703604,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
4.379997,3.744404,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
4.399997,3.785204,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
4.419997,3.826004,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
4.439997,3.866804,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
4.459997,3.907604,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
4.479997,3.948404,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
4.499997,3.989204,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
4.519997,4.030004,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
4.539997,4.070804,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
4.559997,4.111604,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
4.579997,4.152404,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
4.599997,4.193204,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
4.619997,4.234004,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
4.639997,4.274805,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
4.659997,4.315605,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
4.679996,4.356405,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
4.699996,4.397205,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
4.719996,4.438005,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
4.739996,4.478805,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
4.759996,4.519605,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
4.779996,4.560405,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
4.799996,4.601205,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
4.819996,4.642005,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
4.839996,4.682806,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
4.859996,4.723606,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
