currentTimeStep, cubeRomeo.position.x, cubeRomeo.position.y,alphaRomeo,degree,horizonForceRomeo,verticalForceRomeo, -frictionForceRomeo.x + horizonForceRomeo, -frictionForceRomeo.y + verticalForceRomeo, -frictionForceRomeo.z + zAxisForceRomeo
49.27132,-19.94733,0.7565111,-0.01118015,-0.6405753,-0.2193628,19.61993,-0.2087629,19.62004,1.803071E-09
49.27632,-19.94775,0.7565066,-0.01110918,-0.6365092,-0.217971,19.61999,-0.2072397,19.6201,1.813639E-09
49.28132,-19.94818,0.7565022,-0.0110379,-0.6324249,-0.2165729,19.62005,-0.2057113,19.62016,1.824405E-09
49.28632,-19.94861,0.7564977,-0.01096598,-0.6283041,-0.2151623,19.62011,-0.2041714,19.62022,1.835399E-09
49.29132,-19.94904,0.7564932,-0.01089405,-0.6241834,-0.2137516,19.62017,-0.2026411,19.62028,1.849374E-09
49.29633,-19.94948,0.7564887,-0.0108215,-0.6200261,-0.2123285,19.62023,-0.2010875,19.62034,1.859607E-09
49.30133,-19.94991,0.7564843,-0.01074862,-0.6158506,-0.2108991,19.62029,-0.1995296,19.6204,1.870326E-09
49.30633,-19.95035,0.7564798,-0.01067511,-0.6116387,-0.2094573,19.62035,-0.1979589,19.62046,1.880781E-09
49.31133,-19.9508,0.7564753,-0.01060128,-0.6074086,-0.2080092,19.62041,-0.196382,19.62052,1.891029E-09
49.31633,-19.95124,0.7564709,-0.01052713,-0.6031602,-0.2065548,19.62047,-0.1947991,19.62058,1.901174E-09
49.32133,-19.95169,0.7564664,-0.01045267,-0.5988936,-0.2050942,19.62053,-0.1932118,19.62064,1.911646E-09
49.32633,-19.95214,0.7564619,-0.01037756,-0.5945905,-0.2036211,19.62058,-0.1916136,19.6207,1.92238E-09
49.33133,-19.95259,0.7564575,-0.01030214,-0.5902691,-0.2021417,19.62064,-0.1900232,19.62076,1.937164E-09
49.33633,-19.95304,0.7564531,-0.0102264,-0.5859296,-0.2006561,19.6207,-0.1884134,19.62082,1.947762E-09
49.34134,-19.9535,0.7564487,-0.01015034,-0.5815719,-0.1991643,19.62076,-0.1867977,19.62088,1.958277E-09
49.34634,-19.95396,0.7564443,-0.01007397,-0.5771959,-0.1976662,19.62081,-0.1851727,19.62093,1.96763E-09
49.35134,-19.95442,0.7564399,-0.009996956,-0.5727834,-0.1961555,19.62087,-0.1835373,19.62099,1.977424E-09
49.35634,-19.95488,0.7564355,-0.009919627,-0.5683528,-0.1946387,19.62093,-0.1818954,19.62105,1.986896E-09
49.36134,-19.95535,0.7564312,-0.009841979,-0.5639038,-0.1931156,19.62099,-0.1802482,19.62111,1.996388E-09
49.36634,-19.95581,0.7564268,-0.009764012,-0.5594367,-0.1915862,19.62105,-0.1785944,19.62117,2.005485E-09
49.37134,-19.95628,0.7564225,-0.009685727,-0.5549513,-0.1900506,19.6211,-0.1769378,19.62122,2.01539E-09
49.37634,-19.95675,0.7564182,-0.009607124,-0.5504476,-0.1885087,19.62116,-0.1752759,19.62128,2.025275E-09
49.38134,-19.95723,0.7564139,-0.009527884,-0.5459076,-0.1869543,19.62122,-0.1736021,19.62134,2.035075E-09
49.38634,-19.9577,0.7564096,-0.009448646,-0.5413675,-0.1853999,19.62127,-0.1719435,19.62139,2.049157E-09
49.39135,-19.95818,0.7564053,-0.00936877,-0.536791,-0.1838331,19.62133,-0.1702548,19.62145,2.057681E-09
49.39635,-19.95866,0.7564011,-0.009288576,-0.5321962,-0.1822599,19.62138,-0.1685618,19.62151,2.066551E-09
49.40135,-19.95915,0.7563968,-0.009208064,-0.5275832,-0.1806806,19.62144,-0.1668636,19.62156,2.075443E-09
49.40635,-19.95963,0.7563926,-0.009127233,-0.522952,-0.1790949,19.62149,-0.1651592,19.62162,2.084002E-09
49.41135,-19.96012,0.7563884,-0.009046085,-0.5183025,-0.177503,19.62155,-0.1634489,19.62167,2.092326E-09
49.41635,-19.96061,0.7563843,-0.008964619,-0.5136348,-0.1759049,19.6216,-0.1617358,19.62173,2.101399E-09
49.42135,-19.9611,0.7563801,-0.008882834,-0.5089489,-0.1743005,19.62166,-0.1600177,19.62178,2.110522E-09
