currentTimeStep, cubeJulia.position.x, cubeJulia.position.y, alphaJulia, degree, horizonForceJulia, verticalForceJulia, -frictionForceJulia.x + horizonForceJulia, -frictionForceJulia.y + verticalForceJulia, -frictionForceJulia.z + zAxisForceJulia
68.75185,-21.56274,0.7535166,0.008604748,0.4930158,0.1688533,19.62279,0.1499664,19.62295,-2.622391E-09
68.76185,-21.56218,0.7535118,0.008510279,0.4876031,0.1669999,19.62285,0.1479916,19.62301,-2.631402E-09
68.77184,-21.56161,0.7535071,0.008415492,0.4821722,0.1651403,19.62291,0.1460118,19.62307,-2.6403E-09
68.78184,-21.56104,0.7535024,0.008320705,0.4767413,0.1632807,19.62296,0.1440333,19.62312,-2.649082E-09
68.79183,-21.56047,0.7534977,0.0082256,0.4712922,0.1614148,19.62302,0.1420499,19.62318,-2.65775E-09
68.80183,-21.5599,0.753493,0.008130177,0.4658248,0.1595426,19.62308,0.1400615,19.62324,-2.666301E-09
68.81182,-21.55932,0.7534884,0.008034436,0.4603393,0.1576642,19.62313,0.1380683,19.62329,-2.674738E-09
68.82182,-21.55875,0.7534838,0.007938378,0.4548355,0.1557796,19.62319,0.1360701,19.62334,-2.683058E-09
68.83181,-21.55817,0.7534793,0.007842001,0.4493135,0.1538886,19.62324,0.1340671,19.6234,-2.691262E-09
68.8418,-21.55759,0.7534748,0.007745305,0.4437733,0.1519915,19.6233,0.1320593,19.62345,-2.699349E-09
68.8518,-21.55701,0.7534704,0.007648292,0.4382149,0.1500881,19.62335,0.1300466,19.6235,-2.70732E-09
68.86179,-21.55643,0.753466,0.007551279,0.4326564,0.1481846,19.62341,0.1280353,19.62356,-2.715172E-09
68.87179,-21.55584,0.7534617,0.007453949,0.4270798,0.146275,19.62346,0.1260193,19.62361,-2.722908E-09
68.88178,-21.55526,0.7534574,0.0073563,0.4214849,0.144359,19.62351,0.1239984,19.62366,-2.730525E-09
68.89178,-21.55467,0.7534531,0.007258333,0.4158718,0.1424368,19.62356,0.1219729,19.62371,-2.738024E-09
68.90177,-21.55408,0.7534489,0.007160366,0.4102587,0.1405146,19.62361,0.1199487,19.62376,-2.745405E-09
68.91177,-21.55349,0.7534447,0.007062081,0.4046274,0.1385862,19.62366,0.1179199,19.62381,-2.752667E-09
68.92176,-21.5529,0.7534406,0.006963478,0.3989779,0.1366515,19.62371,0.1158864,19.62386,-2.75981E-09
68.93176,-21.55231,0.7534366,0.006864557,0.3933102,0.1347105,19.62376,0.1138481,19.6239,-2.766835E-09
68.94175,-21.55171,0.7534326,0.006765637,0.3876424,0.1327696,19.62381,0.1118115,19.62395,-2.77374E-09
68.95174,-21.55112,0.7534286,0.006666397,0.3819564,0.1308223,19.62385,0.1097701,19.62399,-2.780526E-09
68.96174,-21.55052,0.7534246,0.006566841,0.3762523,0.1288689,19.6239,0.1077241,19.62404,-2.787193E-09
68.97173,-21.54992,0.7534208,0.006467284,0.3705481,0.1269154,19.62395,0.1056797,19.62408,-2.793739E-09
68.98173,-21.54933,0.753417,0.006367409,0.3648257,0.1249557,19.62399,0.1036307,19.62413,-2.800167E-09
68.99172,-21.54873,0.7534132,0.006267216,0.359085,0.1229897,19.62404,0.101577,19.62417,-2.806475E-09
69.00172,-21.54812,0.7534095,0.006167023,0.3533444,0.1210237,19.62408,0.09952503,19.62421,-2.812662E-09
69.01171,-21.54752,0.7534059,0.006066513,0.3475856,0.1190515,19.62412,0.09746845,19.62425,-2.818729E-09
69.02171,-21.54692,0.7534022,0.005965684,0.3418085,0.117073,19.62417,0.09540729,19.6243,-2.824675E-09
69.0317,-21.54631,0.7533987,0.005864855,0.3360315,0.1150945,19.62421,0.09334783,19.62433,-2.8305E-09
69.04169,-21.54571,0.7533951,0.005763708,0.3302361,0.1131097,19.62425,0.0912838,19.62437,-2.836204E-09
69.05169,-21.5451,0.7533917,0.005662562,0.3244409,0.1111249,19.62429,0.0892215,19.62441,-2.841787E-09
69.06168,-21.54449,0.7533883,0.005561097,0.3186274,0.1091339,19.62433,0.08715466,19.62445,-2.847249E-09
69.07168,-21.54388,0.7533849,0.005459633,0.3128139,0.1071429,19.62437,0.08508956,19.62449,-2.85259E-09
69.08167,-21.54327,0.7533817,0.00535785,0.3069822,0.1051456,19.6244,0.08301995,19.62452,-2.857809E-09
69.09167,-21.54266,0.7533785,0.005256067,0.3011505,0.1031483,19.62444,0.08095209,19.62456,-2.862907E-09
69.10166,-21.54205,0.7533753,0.005153967,0.2953005,0.1011448,19.62448,0.07887629,19.62459,-2.866754E-09
69.11166,-21.54144,0.7533722,0.005051866,0.2894506,0.09914126,19.62451,0.07680573,19.62463,-2.871606E-09
69.12165,-21.54082,0.7533692,0.004949448,0.2835825,0.09713147,19.62455,0.07473069,19.62466,-2.876336E-09
69.13165,-21.54021,0.7533662,0.004847029,0.2777143,0.09512166,19.62458,0.07265744,19.62469,-2.880943E-09
69.14164,-21.53959,0.7533633,0.004744292,0.2718279,0.09310561,19.62461,0.07057975,19.62472,-2.885429E-09
69.15163,-21.53898,0.7533604,0.004641556,0.2659416,0.09108955,19.62465,0.06850389,19.62475,-2.889794E-09
69.16163,-21.53836,0.7533576,0.004538502,0.260037,0.08906725,19.62468,0.06642359,19.62478,-2.894036E-09
